Sale_ID,Date_Sold,Address,City,State,ZIP_Code,Bedrooms,Bathrooms,Square_Feet,Lot_Size_acres,Year_Built,Sale_Price,Listing_Price,Agent_Name,Agency
HS100000,2022-05-30,"3745 Bennett Mews, North Jamiemouth, HI 49282",Debraburgh,NM,48195,4,1,3816,1.21,1981,615151,76026,Matthew Andrews,Bennett-Shah
HS100001,2022-10-10,"412 Dawn Courts, Reyesfurt, AK 78831",Petersonview,NV,81238,5,1,4209,1.43,2017,685311,470888,Shawn Erickson,"Bell, Gonzalez and Robinson"
HS100002,2020-08-09,"926 Johnson Extensions Apt. 404, North Michelle, IN 87348",Reedstad,WY,82076,3,3,4319,1.87,1967,715643,364557,Joseph Rodriguez,"Jordan, Thompson and Velasquez"
HS100003,2024-02-13,"997 Joshua Landing, Travismouth, OR 69329",Rachelland,MT,90412,5,2,902,1.59,1992,985783,305116,Caroline Lindsey,Huber-Perez
HS100004,2023-10-04,"378 Swanson Mountain, Derekville, UT 55968",Coxbury,WV,31673,5,1,3391,0.21,1984,359143,377210,Susan Carroll,Morales PLC
HS100005,2020-11-27,"091 Roberto Fall, Andradeborough, AK 99479",Davisside,NM,92701,2,3,1187,1.72,2007,112780,240285,Michaela Horton,"Miller, Mills and Gallagher"
HS100006,2025-04-27,"50971 Roy Pine Apt. 837, Hardinport, NM 66322",West Williamside,AK,87224,3,2,1586,0.53,1982,859340,100971,Joseph Gonzalez,Salazar PLC
HS100007,2021-06-18,"PSC 7418, Box 2943, APO AP 15106",Peggychester,AK,40930,3,1,2463,0.82,1963,766944,470497,Lori Griffin,Beck LLC
HS100008,2022-11-30,"4180 Ethan Via, New Jacob, ID 85969",Richardville,PA,86384,3,2,944,0.98,1983,438422,163978,Jose Barry,Torres-Stephens
HS100009,2021-03-07,"1104 Madden Roads, New Charlesshire, WY 63318",Perezhaven,MO,36413,5,3,1413,1.01,2010,949434,209163,Robert Buchanan,"Duncan, Mcclain and Gray"
HS100010,2023-11-02,"23782 Sarah Mount, New Dianestad, MT 45822",Davidland,KS,22399,4,1,2587,0.93,1953,493441,886926,James Richardson,Barron LLC
HS100011,2025-02-16,"319 Jennifer Fork Apt. 613, Craigton, OK 87999",New Paula,NH,30881,3,2,3448,1.88,2008,743312,153864,Nicole Martin,Barker Inc
HS100012,2021-03-27,"0433 Murray Mews, Lake Thomas, FL 01616",Lake Abigailport,NE,51952,5,1,3672,1.44,1978,150706,986114,James Davis,"Davis, Perry and Brown"
HS100013,2024-04-26,"32694 Tina Haven Apt. 727, Lake Julie, NH 95429",Sarahville,MT,53956,2,2,3818,1.3,1955,743023,444295,Shawna Carr,Harmon LLC
HS100014,2022-01-23,"590 Turner Loop, Hansonland, VT 97407",Calvinville,WV,88514,4,3,1910,0.19,1998,172019,669674,Keith Martinez,"Murray, Morris and Hardy"
HS100015,2024-04-11,"6016 Maxwell Forks, Williamston, PA 85646",New Christopher,IN,76383,2,3,2599,1.82,1989,421852,489967,James Decker,Johnson-Williams
HS100016,2024-11-15,"USS Mccann, FPO AE 30848",Lake Jenna,IA,72128,4,1,2277,1.83,2014,766741,660414,James Gomez,Brown Inc
HS100017,2021-10-17,"1710 Christopher Turnpike, New Michaelstad, KS 68667",Lauraton,SD,83238,5,2,3724,1.58,2018,229001,498648,Rebekah Neal,"Gilmore, Evans and Sloan"
HS100018,2024-01-13,"00574 Campbell Parkways Suite 020, East Amanda, MO 43484",Cranehaven,AR,83195,1,1,1927,0.11,1976,845775,736311,Alan Harding,Sullivan-Long
HS100019,2023-12-26,"19860 Anthony Neck Suite 770, West Bobfurt, CO 25101",Acostastad,WA,41410,4,1,1692,0.21,1955,912605,655151,Richard Peters,"Morris, Holt and Crosby"
HS100020,2022-12-21,"317 Cardenas Walks Apt. 657, Bonnietown, SC 47100",Port Rhondafort,ID,04892,2,2,3008,0.53,1962,150260,390435,Jennifer Young,Neal-Roman
HS100021,2024-06-07,"351 Carpenter Squares Apt. 296, Duaneberg, SD 72040",East Thomas,NM,46733,5,2,4273,0.35,2013,220863,175659,Stacey Steele,Roman-Andersen
HS100022,2021-08-15,"5750 Patterson Drive, Kimside, FL 54925",Lake Kari,SC,14135,4,2,3891,0.86,2011,734494,765232,Charles Warner,Johnson-May
HS100023,2024-08-09,"437 Rodriguez Ville Suite 044, Port Kelly, LA 43966",North Andrewtown,UT,93316,1,3,1609,1.85,1968,752461,57235,Sophia Martinez,Jackson-Wood
HS100024,2023-12-12,"327 Guerra Cove, South Brian, DE 28864",North Michael,MT,16206,1,1,1303,1.0,1992,643731,394877,Amanda Hensley,"Duncan, Richmond and Wilson"
HS100025,2024-04-18,"771 Larry Cape Apt. 384, Montgomeryfort, CT 69734",East James,OK,14917,3,1,1174,0.13,1969,804471,112712,Sherri Buck,Hodges LLC
HS100026,2025-01-22,"3347 Brandon Underpass Apt. 132, Matthewberg, WV 45947",New Adamshire,PA,68227,3,3,2208,0.64,2017,369674,202545,Valerie Henry,Avery LLC
HS100027,2024-09-13,"76711 Newman Motorway, Gordonbury, CO 98052",New Austinfort,NY,07524,2,2,3832,0.18,1993,490015,772927,Alexandra Harrison,Thomas PLC
